Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788698187,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788698188,5,,Aggregated,0.000000,0.000000,210,240,240,250,260,260,260,260,260,260,260,10,0,200,214.32659000201966,165.07460000138963,255.29040000401437,37440.8
1788698189,15,,Aggregated,0.000000,0.000000,200,230,230,240,250,260,260,260,260,260,260,20,0,200,207.95734500024992,165.07460000138963,255.29040000401437,37440.8
1788698190,15,,Aggregated,5.000000,0.000000,190,200,210,230,240,250,260,260,260,260,260,33,0,190,200.11842121223737,159.98039999976754,255.29040000401437,38874.969696969696
1788698191,15,,Aggregated,7.500000,0.000000,190,210,210,230,240,260,330,330,330,330,330,41,0,190,200.88973902424985,148.81659999809926,332.99569999508094,41222.39024390244
1788698192,15,,Aggregated,7.500000,0.000000,190,210,210,230,240,260,330,330,330,330,330,43,0,190,200.27277674400761,148.81659999809926,332.99569999508094,41718.83720930233
1788698193,15,,Aggregated,9.000000,0.000000,190,200,210,210,240,260,270,330,330,330,330,55,0,190,194.88643636379328,148.81659999809926,332.99569999508094,43795.236363636366
1788698194,15,,Aggregated,8.600000,0.000000,190,200,210,210,240,260,270,330,330,330,330,60,0,190,192.7179333333091,148.81659999809926,332.99569999508094,44536.333333333336
1788698195,15,,Aggregated,7.666667,0.000000,190,200,210,210,240,250,270,330,330,330,330,67,0,190,193.73072238794072,148.81659999809926,332.99569999508094,45246.119402985074
1788698196,15,,Aggregated,8.142857,0.000000,190,200,200,210,230,250,270,330,330,330,330,76,0,190,191.78754210521507,148.81659999809926,332.99569999508094,45668.68421052631
1788698197,15,,Aggregated,7.625000,0.000000,190,200,200,210,230,240,270,330,330,330,330,82,0,190,190.7403560975714,148.81659999809926,332.99569999508094,45931.07317073171
